Region,Location,NERC Region,CO2e (metric ton/kWh),Source
Central US,Iowa,MRO,0.00047223,EPA
East US,Virginia,SERC,0.000415755,EPA
East US 2,Virginia,SERC,0.000415755,EPA
East US 3,Georgia,SERC,0.000415755,EPA
North Central US,Illinois,RFC,0.000440187,EPA
South Central US,Texas,TRE,0.000396293,EPA
West Central US,Wyoming,WECC,0.000350861,EPA
West US,California,WECC,0.000350861,EPA
West US 2,Washington,WECC,0.000350861,EPA
West US 3,Arizona,WECC,0.000350861,EPA
East Asia,Hong Kong,,0.00069294,carbondi.com
Southeast Asia,Singapore,,0.00050249,carbondi.com
North Europe,Ireland,,0.00031413,carbondi.com
West Europe,Netherlands,,0.00030901,carbondi.com
Central India,Pune,,0.00093355,carbondi.com
South India,Chennai,,0.00093355,carbondi.com
West India,Mumbai,,0.00093355,carbondi.com
UK South,London,,0.00020705,carbondi.com
UK West,Cardiff,,0.00020705,carbondi.com
France Central,Paris,,0.00007055,carbondi.com
Finland Central,Helsinki,,0.00009501,carbondi.com,
Germany West Central,Frankfurt,,0.00037995,carbondi.com
Belgium Central,Brussels,,0.00012525,carbondi.com
Sweden Central,Gavle,,0.00001518,carbondi.com
