Region,Location,CO2e (metric ton/kWh),Source
us-central1,Iowa,0.000479,Google
us-east1,South Carolina,0.0005,Google
us-east4,Northern Virginia,0.000383,Google
us-west1,Oregon,0.000117,Google
us-west2,Los Angeles,0.000248,Google
us-west3,Salt Lake City,0.000561,Google
us-west4,Las Vegas,0.000491,Google
asia-east1,Taiwan,0.00063602,carbondi.com
asia-east2,Hong Kong,0.00069294,carbondi.com
asia-northeast1,Japan,0.00045773,carbondi.com
asia-northeast2,Japan,0.00045773,carbondi.com
asia-northeast3,South Korea,0.00048755,carbondi.com
asia-south1,India,0.00093355,carbondi.com
asia-southeast1,Singapore,0.00050249,carbondi.com
asia-southeast2,Indonesia,0.00070711,carbondi.com
australia-southeast1,Australia,0.00059512,carbondi.com
europe-north1,Finland,0.00009501,carbondi.com
europe-west1,Belgium,0.00012525,carbondi.com
europe-west2,England,0.00020705,carbondi.com
europe-west3,Germany,0.00037995,carbondi.com
europe-west4,Netherlands,0.00030901,carbondi.com
europe-west6,Switzerland,0.00002369,carbondi.com
northamerica-northeast1,Canada,0.00011600,carbondi.com
southamerica-east1,Brazil,0.00007410,carbondi.com
