Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
a 1.large,2.4,8.5,0.0,2,16
a1.2xlarge,9.5,34.0,1022.21,8,16
a1.4xlarge,19.0,67.9,1022.21,16,16
a1.medium,1.2,4.2,1022.21,1,16
a1.metal,19.0,67.9,1022.21,16,16
a1.xlarge,4.8,17.0,1022.21,4,16
c1.medium,2.9,10.3,1536.09,2,48
c1.xlarge,11.6,41.2,1536.09,8,48
c3.2xlarge,17.7,62.8,1361.07,8,40
c3.4xlarge,35.5,125.6,1361.07,16,40
c3.8xlarge,71.0,251.2,1361.07,32,40
c3.large,4.4,15.7,1361.07,2,40
c3.xlarge,8.9,31.4,1361.07,4,40
c4.2xlarge,20.3,72.1,1161.07,8,40
c4.2xlarge.elasticsearch,20.3,72.1,1161.07,8,40
c4.4xlarge,40.6,144.3,1161.07,16,40
c4.4xlarge.elasticsearch,40.6,144.3,1161.07,16,40
c4.8xlarge,89.9,320.2,1161.07,36,40
c4.8xlarge.elasticsearch,89.9,320.2,1161.07,36,40
c4.large,5.1,18.0,1161.07,2,40
c4.large.elasticsearch,5.1,18.0,1161.07,2,40
c4.xlarge,10.2,36.1,1161.07,4,40
c4.xlarge.elasticsearch,10.2,36.1,1161.07,4,40
c5.12xlarge,95.2,466.6,1344.29,48,96
c5.18xlarge,174.7,646.8,1344.29,72,72
c5.18xlarge.elasticsearch,174.7,646.8,1344.29,72,72
c5.24xlarge,190.5,933.2,1344.29,96,96
c5.2xlarge,19.4,71.9,1344.29,8,72
c5.2xlarge.elasticsearch,19.4,71.9,1344.29,8,72
c5.4xlarge,38.8,143.7,1344.29,16,72
c5.4xlarge.elasticsearch,38.8,143.7,1344.29,16,72
c5.9xlarge,87.3,323.4,1344.29,36,72
c5.9xlarge.elasticsearch,87.3,323.4,1344.29,36,72
c5.large,4.9,18.0,1344.29,2,72
c5.large.elasticsearch,4.9,18.0,1344.29,2,72
c5.metal,190.5,933.2,1344.29,96,96
c5.xlarge,9.7,35.9,1344.29,4,72
c5.xlarge.elasticsearch,9.7,35.9,1344.29,4,72
c5a.12xlarge,63.5,228.2,1244.29,48,96
c5a.16xlarge,84.6,304.3,1244.29,64,96
c5a.24xlarge,126.9,456.4,1244.29,96,96
c5a.2xlarge,10.6,38.0,1244.29,8,96
c5a.4xlarge,21.2,76.1,1244.29,16,96
c5a.8xlarge,42.3,152.1,1244.29,32,96
c5a.large,2.6,9.5,1244.29,2,96
c5a.xlarge,5.3,19.0,1244.29,4,96
c5ad.12xlarge,63.5,228.2,1444.29,48,96
c5ad.16xlarge,84.6,304.3,1444.29,64,96
c5ad.24xlarge,126.9,456.4,1444.29,96,96
c5ad.2xlarge,10.6,38.0,1444.29,8,96
c5ad.4xlarge,21.2,76.1,1444.29,16,96
c5ad.8xlarge,42.3,152.1,1444.29,32,96
c5ad.large,2.6,9.5,1444.29,2,96
c5ad.xlarge,5.3,19.0,1444.29,4,96
c5d.12xlarge,95.2,466.6,1744.29,48,96
c5d.18xlarge,174.7,646.8,1544.29,72,72
c5d.24xlarge,190.5,933.2,1744.29,96,96
